day_id,open,high,low,close,volume
D0020145,0.56732,0.57308,0.56689,0.56813,5794.6312
D0020200,0.5668,0.57707,0.56584,0.57673,5771.2508
D0020215,0.57696,0.58064,0.57479,0.58064,31388.5618
D0020230,0.58055,0.58111,0.57666,0.58111,5636.8729
D0020245,0.58009,0.58303,0.57853,0.57911,10510.9285
D0020300,0.58055,0.58344,0.57909,0.57995,11957.8682
D0020315,0.57982,0.58716,0.57853,0.58716,7801.5396
D0020330,0.58736,0.58736,0.58126,0.58126,7963.7494
D0020345,0.58124,0.58155,0.56737,0.5693,10399.3385
D0020400,0.56958,0.57418,0.56642,0.57252,28354.0803
D0020415,0.57218,0.57265,0.5644,0.5644,17775.8351
D0020430,0.56444,0.56496,0.5563,0.55882,31627.163
D0020445,0.56023,0.5614,0.55728,0.5609,7630.2827
D0020500,0.56072,0.5636,0.55222,0.5547,17976.9776
D0020515,0.55519,0.55555,0.54557,0.54874,34018.0337
D0020530,0.54947,0.55524,0.54664,0.55493,7908.6967
D0020545,0.5553,0.5592,0.55078,0.55664,22711.0826
D0020600,0.55776,0.56339,0.55668,0.56339,24993.0958
D0020615,0.56351,0.5727,0.56351,0.5727,17556.7846
D0020630,0.57288,0.57367,0.56804,0.57367,13229.3165
D0020645,0.57369,0.57637,0.57099,0.57386,6155.3976
D0020700,0.57388,0.58126,0.57178,0.58083,9659.7611
D0020715,0.5807,0.58736,0.57903,0.58646,9804.3251
D0020730,0.58561,0.59138,0.58296,0.59017,13627.2228
D0020745,0.59022,0.59252,0.58714,0.58948,13400.47
D0020800,0.58949,0.593,0.58694,0.59107,14701.4009
D0020815,0.58991,0.59211,0.58915,0.5915,24618.1319
D0020830,0.59084,0.59392,0.58712,0.58759,30366.0563
D0020845,0.58757,0.59164,0.58275,0.58302,14784.3823
D0020900,0.58265,0.58816,0.58259,0.58391,12020.1954
D0020915,0.58581,0.59158,0.58504,0.59021,7583.8895
D0020930,0.59076,0.59225,0.58915,0.58963,15696.0088
D0020945,0.59049,0.59166,0.58652,0.58816,9412.9262
D0021000,0.58649,0.5895,0.58611,0.58703,7101.7967
D0021015,0.58683,0.59225,0.58525,0.59225,12241.4333
D0021030,0.59239,0.59397,0.58816,0.58836,8995.5844
D0021045,0.58845,0.59016,0.58742,0.58914,11244.8714
D0021100,0.58856,0.59298,0.58766,0.59298,4191.5557
D0021115,0.59181,0.60079,0.59181,0.60032,18750.8693
D0021130,0.60038,0.60051,0.59468,0.59549,14883.8293
D0021145,0.5955,0.59773,0.5926,0.59739,16748.3805
D0021200,0.5964,0.6026,0.59427,0.60202,45589.1841
D0021215,0.6018,0.60586,0.60064,0.60262,14844.9392
D0021230,0.60262,0.60318,0.59918,0.60182,15451.6366
D0021245,0.60091,0.60185,0.59836,0.60185,5260.7573
D0021300,0.60128,0.60128,0.59664,0.59764,7646.5387
D0021315,0.59811,0.59811,0.59585,0.59657,6495.8883
D0021330,0.59595,0.59822,0.5936,0.59507,19704.4461
D0021345,0.59451,0.59631,0.59246,0.59344,8531.5254
D0021400,0.59402,0.59539,0.5913,0.59539,12580.0095
D0021415,0.59581,0.5999,0.59528,0.5999,4615.0195
D0021430,0.59833,0.60079,0.59645,0.59829,8308.0055
D0021445,0.59818,0.59944,0.59643,0.59923,5101.4059
D0021500,0.5984,0.60222,0.59751,0.59848,35961.3692
D0021515,0.59949,0.59949,0.59297,0.5939,36296.0684
D0021530,0.5936,0.5936,0.58781,0.58781,5069.1256
D0021545,0.58809,0.59236,0.58672,0.5905,20696.4861
D0021600,0.5899,0.59383,0.58766,0.59055,13509.8994
D0021615,0.59102,0.59167,0.57265,0.5757,56770.3564
D0021630,0.57492,0.58242,0.56773,0.5814,126568.4473
D0021645,0.5796,0.58565,0.5795,0.58249,11406.484
D0021700,0.5822,0.5911,0.57994,0.5911,10190.1492
